po_id,product_id,supplier_id,received_date,quantity_received,unit_cost,total_cost,warehouse,quality_pass
PO5053,P1016,S106,2023-01-01,78,791.78,61758.84,Tallinn WH,1
PO5719,P1024,S108,2023-01-03,13,636.78,8278.14,Warsaw WH,1
PO5712,P1024,S108,2023-01-04,180,636.78,114620.4,Madrid WH,1
PO5215,P1007,S107,2023-01-06,71,766.41,54415.11,Berlin WH,0
PO5647,P1024,S106,2023-01-06,12,636.78,7641.36,Helsinki WH,1
PO5027,P1027,S101,2023-01-08,86,224.46,19303.56,Berlin WH,1
PO5458,P1001,S103,2023-01-08,194,516.95,100288.3,Helsinki WH,0
PO5254,P1012,S101,2023-01-16,128,77.64,9937.92,Warsaw WH,1
PO5778,P1007,S107,2023-01-18,58,766.41,44451.78,Tallinn WH,1
PO5777,P1014,S110,2023-01-19,122,224.58,27398.76,Berlin WH,1
PO5029,P1009,S105,2023-01-20,29,435.94,12642.26,Helsinki WH,0
PO5106,P1008,S103,2023-01-21,133,680.28,90477.24,Berlin WH,1
PO5640,P1014,S108,2023-01-24,42,224.58,9432.36,Warsaw WH,0
PO5117,P1021,S104,2023-01-29,182,455.67,82931.94,Madrid WH,1
PO5631,P1013,S101,2023-01-29,68,514.01,34952.68,Berlin WH,1
PO5003,P1025,S106,2023-01-31,24,796.96,19127.04,Berlin WH,1
PO5462,P1015,S110,2023-02-02,62,149.34,9259.08,Berlin WH,1
PO5314,P1005,S106,2023-02-03,162,188.05,30464.1,Madrid WH,1
PO5320,P1018,S103,2023-02-03,92,262.63,24161.96,Helsinki WH,1
PO5395,P1013,S109,2023-02-04,95,514.01,48830.95,Tallinn WH,1
PO5310,P1022,S101,2023-02-08,66,328.53,21682.98,Berlin WH,1
PO5690,P1002,S109,2023-02-09,98,593.13,58126.74,Tallinn WH,1
PO5702,P1001,S103,2023-02-10,135,516.95,69788.25,Warsaw WH,1
PO5088,P1024,S102,2023-02-11,160,636.78,101884.8,Berlin WH,1
PO5212,P1022,S107,2023-02-13,13,328.53,4270.89,Tallinn WH,1
PO5450,P1021,S104,2023-02-14,102,455.67,46478.34,Tallinn WH,1
PO5092,P1021,S101,2023-02-22,80,455.67,36453.6,Madrid WH,1
PO5734,P1021,S101,2023-02-22,53,455.67,24150.51,Berlin WH,1
PO5241,P1013,S109,2023-02-23,156,514.01,80185.56,Tallinn WH,1
PO5081,P1024,S104,2023-02-25,22,636.78,14009.16,Warsaw WH,1
PO5078,P1005,S106,2023-03-01,100,188.05,18805.0,Tallinn WH,1
PO5174,P1007,S109,2023-03-01,12,766.41,9196.92,Tallinn WH,1
PO5693,P1001,S103,2023-03-02,200,516.95,103390.0,Tallinn WH,1
PO5244,P1002,S108,2023-03-04,24,593.13,14235.12,Madrid WH,1
PO5771,P1012,S101,2023-03-04,62,77.64,4813.68,Tallinn WH,1
PO5581,P1022,S101,2023-03-05,195,328.53,64063.35,Berlin WH,1
PO5505,P1011,S109,2023-03-06,24,568.09,13634.16,Warsaw WH,1
PO5713,P1021,S108,2023-03-08,47,455.67,21416.49,Madrid WH,1
PO5463,P1007,S107,2023-03-10,115,766.41,88137.15,Madrid WH,1
PO5723,P1011,S109,2023-03-10,76,568.09,43174.84,Helsinki WH,1
PO5649,P1014,S110,2023-03-14,142,224.58,31890.36,Warsaw WH,1
PO5424,P1008,S102,2023-03-16,102,680.28,69388.56,Warsaw WH,1
PO5423,P1002,S108,2023-03-18,45,593.13,26690.85,Warsaw WH,1
PO5756,P1007,S105,2023-03-18,45,766.41,34488.45,Tallinn WH,1
PO5701,P1005,S106,2023-03-19,24,188.05,4513.2,Helsinki WH,1
PO5308,P1017,S102,2023-03-20,74,676.64,50071.36,Warsaw WH,1
PO5190,P1022,S107,2023-03-22,80,328.53,26282.4,Warsaw WH,1
PO5279,P1008,S102,2023-03-22,64,680.28,43537.92,Warsaw WH,0
PO5478,P1007,S107,2023-03-22,19,766.41,14561.79,Berlin WH,1
PO5032,P1026,S104,2023-03-23,92,24.01,2208.92,Berlin WH,1
PO5138,P1022,S101,2023-03-23,111,328.53,36466.83,Tallinn WH,1
PO5087,P1022,S107,2023-03-24,194,328.53,63734.82,Helsinki WH,0
PO5673,P1021,S104,2023-03-24,56,455.67,25517.52,Tallinn WH,1
PO5276,P1004,S109,2023-03-26,116,35.83,4156.28,Madrid WH,1
PO5585,P1026,S104,2023-03-27,195,24.01,4681.95,Warsaw WH,1
PO5559,P1021,S104,2023-04-02,182,455.67,82931.94,Helsinki WH,1
PO5464,P1027,S109,2023-04-10,63,224.46,14140.98,Helsinki WH,1
PO5494,P1013,S101,2023-04-10,196,514.01,100745.96,Helsinki WH,1
PO5186,P1012,S107,2023-04-11,156,77.64,12111.84,Warsaw WH,1
PO5731,P1021,S101,2023-04-12,101,455.67,46022.67,Madrid WH,1
PO5774,P1011,S104,2023-04-12,42,568.09,23859.78,Madrid WH,1
PO5026,P1018,S103,2023-04-15,24,262.63,6303.12,Warsaw WH,1
PO5247,P1008,S109,2023-04-18,40,680.28,27211.2,Berlin WH,1
PO5282,P1012,S107,2023-04-18,162,77.64,12577.68,Tallinn WH,1
PO5305,P1017,S104,2023-04-20,102,676.64,69017.28,Madrid WH,1
PO5515,P1003,S104,2023-04-20,26,346.21,9001.46,Warsaw WH,1
PO5118,P1027,S101,2023-04-22,142,224.46,31873.32,Tallinn WH,1
PO5252,P1024,S104,2023-04-23,2,636.78,1273.56,Berlin WH,1
PO5360,P1018,S110,2023-04-24,32,262.63,8404.16,Madrid WH,1
PO5696,P1013,S109,2023-04-25,196,514.01,100745.96,Berlin WH,1
PO5272,P1023,S106,2023-04-26,91,86.36,7858.76,Madrid WH,1
PO5786,P1019,S103,2023-04-27,154,702.95,108254.3,Warsaw WH,1
PO5009,P1002,S104,2023-04-28,13,593.13,7710.69,Madrid WH,1
PO5338,P1004,S109,2023-04-28,20,35.83,716.6,Warsaw WH,1
PO5449,P1008,S106,2023-04-29,144,680.28,97960.32,Warsaw WH,1
PO5008,P1014,S110,2023-04-30,149,224.58,33462.42,Madrid WH,1
PO5493,P1018,S110,2023-05-01,135,262.63,35455.05,Helsinki WH,1
PO5234,P1016,S106,2023-05-03,151,791.78,119558.78,Madrid WH,1
PO5127,P1021,S104,2023-05-04,157,455.67,71540.19,Helsinki WH,0
PO5223,P1007,S101,2023-05-05,123,766.41,94268.43,Warsaw WH,1
PO5688,P1007,S105,2023-05-05,23,766.41,17627.43,Tallinn WH,1
PO5566,P1002,S109,2023-05-09,148,593.13,87783.24,Helsinki WH,1
PO5452,P1003,S104,2023-05-11,139,346.21,48123.19,Helsinki WH,0
PO5350,P1015,S108,2023-05-13,141,149.34,21056.94,Madrid WH,1
PO5355,P1022,S101,2023-05-15,80,328.53,26282.4,Warsaw WH,0
PO5636,P1023,S106,2023-05-16,80,86.36,6908.8,Warsaw WH,1
PO5718,P1019,S103,2023-05-19,90,702.95,63265.5,Tallinn WH,1
PO5543,P1003,S103,2023-05-22,105,346.21,36352.05,Warsaw WH,1
PO5614,P1007,S105,2023-05-26,59,766.41,45218.19,Warsaw WH,1
PO5627,P1005,S106,2023-05-26,136,188.05,25574.8,Helsinki WH,0
PO5797,P1023,S106,2023-05-26,121,86.36,10449.56,Berlin WH,1
PO5017,P1015,S110,2023-05-29,3,149.34,448.02,Warsaw WH,1
PO5059,P1007,S105,2023-05-30,117,766.41,89669.97,Warsaw WH,1
PO5348,P1017,S102,2023-06-01,116,676.64,78490.24,Berlin WH,1
PO5357,P1013,S109,2023-06-01,33,514.01,16962.33,Tallinn WH,1
PO5129,P1008,S102,2023-06-03,41,680.28,27891.48,Helsinki WH,1
PO5680,P1013,S109,2023-06-03,6,514.01,3084.06,Helsinki WH,1
PO5268,P1022,S107,2023-06-04,46,328.53,15112.38,Warsaw WH,1
PO5274,P1003,S103,2023-06-07,166,346.21,57470.86,Helsinki WH,1
PO5532,P1004,S109,2023-06-07,93,35.83,3332.19,Tallinn WH,0
PO5644,P1018,S103,2023-06-07,128,262.63,33616.64,Warsaw WH,1
PO5444,P1026,S104,2023-06-09,145,24.01,3481.45,Helsinki WH,1
PO5413,P1015,S108,2023-06-11,89,149.34,13291.26,Warsaw WH,1
PO5170,P1022,S107,2023-06-14,85,328.53,27925.05,Madrid WH,1
PO5071,P1007,S109,2023-06-15,36,766.41,27590.76,Berlin WH,1
PO5367,P1007,S101,2023-06-16,12,766.41,9196.92,Madrid WH,1
