order_id,order_date,customer_id,region,country,category,product,customer_segment,units,unit_price,unit_cost,revenue,cost,margin,discount_pct,status,is_returned
10093,2023-01-01,C1164,AMER,Canada,Software,Analytics Platform,Mid-Market,11,391.04,37.28,4301.44,410.08,3891.36,0.00,Delivered,0
10546,2023-01-01,C1140,AMER,Brazil,Accessories,Monitor Arm,Mid-Market,4,93.14,34.60,372.56,138.40,234.16,0.00,Shipped,0
12924,2023-01-01,C1112,EMEA,Germany,Software,Cloud Backup 1TB,SMB,8,60.75,7.30,486.00,58.40,427.60,0.00,Delivered,0
11202,2023-01-02,C1089,AMER,Brazil,Hardware,Laptop Stand,SMB,1,44.05,15.21,37.44,15.21,22.23,0.15,Delivered,0
11883,2023-01-02,C1174,EMEA,Sweden,Hardware,Docking Station,Mid-Market,12,192.07,87.17,2074.36,1046.04,1028.32,0.10,Delivered,0
11933,2023-01-02,C1180,EMEA,Netherlands,Hardware,"27"" Monitor",Mid-Market,11,329.99,146.41,3629.89,1610.51,2019.38,0.00,Delivered,0
12053,2023-01-02,C1046,EMEA,Spain,Accessories,Desk Mat,SMB,5,24.18,6.01,114.86,30.05,84.81,0.05,Delivered,0
12269,2023-01-02,C1109,AMER,United States,Software,VPN Annual,SMB,4,39.40,3.00,157.60,12.00,145.60,,Delivered,0
11525,2023-01-03,C1061,AMER,Mexico,Hardware,USB-C Hub,SMB,1,48.98,20.30,48.98,20.30,28.68,0.00,Delivered,0
12606,2023-01-03,C1199,APAC,Japan,Hardware,Docking Station,Enterprise,13,201.39,92.81,2618.07,1206.53,1411.54,0.00,Delivered,0
10465,2023-01-04,C1205,AMER,Brazil,Hardware,Docking Station,Enterprise,13,203.12,89.24,2640.56,1160.12,1480.44,,Delivered,0
10611,2023-01-04,C1293,EMEA,Finland,Software,Design Suite,Consumer,3,253.07,27.40,721.25,82.20,639.05,0.05,Delivered,0
12082,2023-01-05,C1105,EMEA,Sweden,Software,Analytics Platform,SMB,1,418.72,36.16,418.72,36.16,382.56,0.00,Delivered,0
12932,2023-01-05,C1288,AMER,United States,Accessories,Carry Sleeve,Consumer,1,29.74,8.30,29.74,8.30,21.44,0.00,Delivered,0
12750,2023-01-06,C1046,EMEA,Finland,Services,Onboarding Workshop,SMB,3,497.53,151.06,1492.59,453.18,1039.41,0.00,Delivered,0
12871,2023-01-06,C1070,AMER,Brazil,Services,Training Course,SMB,7,360.45,87.34,2523.15,611.38,1911.77,,Delivered,0
12468,2023-01-07,C1177,AMER,United States,Hardware,Docking Station,Mid-Market,12,206.95,95.42,2483.40,1145.04,1338.36,0.00,Delivered,0
12576,2023-01-07,C1194,APAC,Singapore,Services,Custom Integration,Enterprise,10,1158.75,399.03,11587.50,3990.30,7597.20,0.00,Delivered,0
12908,2023-01-07,C1015,EMEA,Netherlands,Services,Training Course,SMB,3,329.51,86.87,988.53,260.61,727.92,0.00,Delivered,0
10362,2023-01-08,C1174,EMEA,Netherlands,Software,Editor Pro License,Mid-Market,10,94.43,10.15,944.30,101.50,842.80,0.00,Delivered,0
11222,2023-01-08,C1191,APAC,Australia,Services,Priority Support,Enterprise,9,176.44,35.25,1587.96,317.25,1270.71,0.00,Delivered,0
12085,2023-01-08,C1034,APAC,India,Services,Priority Support,SMB,2,175.86,34.69,351.72,69.38,282.34,0.00,Delivered,0
12442,2023-01-09,C1043,AMER,United States,Accessories,Monitor Arm,SMB,6,86.05,34.42,516.30,206.52,309.78,0.00,Delivered,1
12768,2023-01-09,C1208,EMEA,Netherlands,Software,VPN Annual,Enterprise,6,37.51,3.12,180.05,18.72,161.33,0.20,Delivered,0
10075,2023-01-10,C1166,EMEA,Germany,Services,Training Course,Mid-Market,12,351.35,88.04,4216.20,1056.48,3159.72,,Delivered,0
11754,2023-01-10,C1040,APAC,Singapore,Services,Priority Support,SMB,1,173.90,34.85,173.90,34.85,139.05,0.00,Pending,0
10261,2023-01-11,C1135,EMEA,France,Software,VPN Annual,Mid-Market,6,39.67,3.13,238.02,18.78,219.24,0.00,Delivered,0
11766,2023-01-11,C1137,AMER,Mexico,Hardware,Laptop Stand,Mid-Market,8,44.59,15.12,356.72,120.96,235.76,0.00,Delivered,0
11897,2023-01-11,C1179,AMER,United States,Software,Editor Pro License,Mid-Market,6,94.74,10.21,483.17,61.26,421.91,0.15,Delivered,0
12129,2023-01-11,C1201,APAC,South Korea,Hardware,Laptop Stand,Enterprise,18,42.91,15.54,579.28,279.72,299.56,0.25,Delivered,0
10933,2023-01-12,C1144,EMEA,Germany,Software,Cloud Backup 1TB,Mid-Market,3,57.63,6.83,172.89,20.49,152.40,0.00,Delivered,1
11158,2023-01-12,C1210,AMER,Mexico,Services,Priority Support,Enterprise,8,175.16,37.23,1050.96,297.84,753.12,0.25,Delivered,0
11263,2023-01-12,C1207,EMEA,Sweden,Software,Design Suite,Enterprise,3,234.61,27.59,703.83,82.77,621.06,,Delivered,0
11271,2023-01-12,C1202,EMEA,Sweden,Accessories,Monitor Arm,Enterprise,7,87.98,34.45,615.86,241.15,374.71,0.00,Delivered,0
11990,2023-01-12,C1191,APAC,South Korea,Services,Priority Support,Enterprise,7,171.18,37.68,1198.26,263.76,934.50,0.00,Shipped,0
12324,2023-01-12,C1015,AMER,United States,Services,Training Course,SMB,2,342.37,88.50,684.74,177.00,507.74,0.00,Delivered,0
12821,2023-01-12,C1210,EMEA,France,Hardware,Webcam HD,Enterprise,19,80.97,31.28,1538.43,594.32,944.11,0.00,Delivered,0
11523,2023-01-13,C1155,APAC,South Korea,Hardware,Docking Station,Mid-Market,8,205.77,93.90,1646.16,751.20,894.96,0.00,Delivered,0
10429,2023-01-14,C1187,EMEA,United Kingdom,Accessories,Cable Set,Enterprise,14,14.14,4.19,168.27,58.66,109.61,0.15,Shipped,0
11066,2023-01-14,C1201,EMEA,United Kingdom,Software,Design Suite,Enterprise,7,258.21,28.47,1355.60,199.29,1156.31,0.25,Delivered,0
11510,2023-01-14,C1198,EMEA,Spain,Hardware,Docking Station,Enterprise,12,202.09,91.92,2425.08,1103.04,1322.04,0.00,Delivered,0
12117,2023-01-14,C1224,EMEA,Sweden,Software,VPN Annual,Consumer,4,39.33,3.26,157.32,13.04,144.28,0.00,Delivered,0
12336,2023-01-14,C1150,EMEA,Spain,Accessories,Cable Set,Mid-Market,4,13.68,4.42,54.72,17.68,37.04,0.00,Shipped,0
12769,2023-01-15,C1272,EMEA,United Kingdom,Hardware,Webcam HD,Consumer,2,78.08,30.75,148.35,61.50,86.85,0.05,Delivered,0
10031,2023-01-16,C1138,APAC,South Korea,Software,Cloud Backup 1TB,Mid-Market,11,61.98,6.77,681.78,74.47,607.31,0.00,Delivered,0
10827,2023-01-16,C1133,EMEA,Netherlands,Services,Onboarding Workshop,Mid-Market,6,486.79,144.66,2920.74,867.96,2052.78,0.00,Cancelled,0
10850,2023-01-16,C1030,EMEA,Finland,Hardware,Mechanical Keyboard,SMB,7,129.63,47.77,907.41,334.39,573.02,0.00,Delivered,0
11412,2023-01-16,C1189,APAC,Singapore,Accessories,Cable Set,Enterprise,20,14.32,4.46,286.40,89.20,197.20,,Delivered,0
12067,2023-01-17,C1189,APAC,South Korea,Software,Analytics Platform,Enterprise,5,420.78,35.28,2103.90,176.40,1927.50,0.00,Delivered,0
12682,2023-01-17,C1001,EMEA,United Kingdom,Hardware,Webcam HD,SMB,7,74.97,30.94,524.79,216.58,308.21,0.00,Delivered,0
12839,2023-01-17,C1031,AMER,United States,Accessories,Carry Sleeve,SMB,2,30.64,7.95,61.28,15.90,45.38,0.00,Shipped,0
11467,2023-01-18,C1201,AMER,United States,Software,Analytics Platform,Enterprise,9,392.45,35.14,3532.05,316.26,3215.79,0.00,Delivered,0
10448,2023-01-20,C1235,AMER,Brazil,Services,Custom Integration,Consumer,1,1155.34,408.17,1155.34,408.17,747.17,0.00,Shipped,0
11759,2023-01-20,C1033,EMEA,France,Accessories,Desk Mat,SMB,3,25.26,6.48,75.78,19.44,56.34,0.00,Delivered,0
12215,2023-01-20,C1020,AMER,Mexico,Services,Onboarding Workshop,SMB,7,471.69,146.30,3301.83,1024.10,2277.73,0.00,Delivered,0
12916,2023-01-20,C1097,AMER,Canada,Accessories,Cable Set,SMB,2,14.56,4.49,27.66,8.98,18.68,0.05,Delivered,0
10043,2023-01-21,C1147,APAC,India,Software,Analytics Platform,Mid-Market,7,391.08,35.95,2737.56,251.65,2485.91,0.00,Delivered,0
11809,2023-01-21,C1125,EMEA,France,Services,Onboarding Workshop,Mid-Market,10,505.75,147.01,5057.50,1470.10,3587.40,0.00,Delivered,0
11414,2023-01-22,C1127,AMER,Mexico,Software,Design Suite,Mid-Market,3,253.02,28.26,569.30,84.78,484.52,0.25,Delivered,0
12624,2023-01-22,C1041,AMER,Mexico,Software,Editor Pro License,SMB,2,102.76,10.27,174.69,20.54,154.15,0.15,Delivered,0
12689,2023-01-22,C1049,EMEA,Spain,Hardware,Laptop Stand,SMB,4,44.00,15.15,176.00,60.60,115.40,0.00,Delivered,0
10342,2023-01-23,C1093,EMEA,Spain,Software,Cloud Backup 1TB,SMB,5,62.12,7.38,279.54,36.90,242.64,0.10,Delivered,0
10696,2023-01-23,C1100,AMER,Brazil,Software,VPN Annual,SMB,3,39.97,2.97,89.93,8.91,81.02,0.25,Delivered,0
11957,2023-01-23,C1185,AMER,United States,Software,Editor Pro License,Enterprise,9,104.52,10.23,799.58,92.07,707.51,0.15,Delivered,0
10054,2023-01-24,C1237,AMER,United States,Software,Editor Pro License,Consumer,2,93.54,9.84,187.08,19.68,167.40,0.00,Delivered,0
10290,2023-01-24,C1175,AMER,Mexico,Hardware,Webcam HD,Mid-Market,4,74.86,33.19,299.44,132.76,166.68,0.00,Delivered,0
11282,2023-01-24,C1306,AMER,Canada,Hardware,Mechanical Keyboard,Consumer,4,135.15,47.65,540.60,190.60,350.00,0.00,Delivered,0
11953,2023-01-24,C1151,AMER,Mexico,Services,Onboarding Workshop,Mid-Market,8,510.42,152.12,3675.02,1216.96,2458.06,0.10,Delivered,0
10138,2023-01-26,C1003,EMEA,Germany,Software,Analytics Platform,SMB,6,417.24,37.68,2503.44,226.08,2277.36,,Cancelled,0
10928,2023-01-26,C1146,EMEA,France,Hardware,Mechanical Keyboard,Mid-Market,8,136.43,46.86,1091.44,374.88,716.56,0.00,Delivered,0
10237,2023-01-27,C1185,APAC,Singapore,Services,Onboarding Workshop,Enterprise,19,502.09,157.09,9539.71,2984.71,6555.00,0.00,Delivered,0
10944,2023-01-27,C1194,EMEA,Netherlands,Hardware,Mechanical Keyboard,Enterprise,15,121.97,49.47,1829.55,742.05,1087.50,0.00,Delivered,0
11885,2023-01-27,C1203,AMER,United States,Hardware,Webcam HD,Enterprise,14,77.21,32.84,1080.94,459.76,621.18,0.00,Delivered,0
12668,2023-01-27,C1189,EMEA,Netherlands,Software,VPN Annual,Enterprise,4,39.29,3.09,157.16,12.36,144.80,0.00,Delivered,0
11398,2023-01-28,C1003,APAC,Japan,Accessories,Monitor Arm,SMB,1,85.47,33.46,85.47,33.46,52.01,0.00,Delivered,0
12273,2023-01-28,C1151,APAC,Japan,Hardware,Docking Station,Mid-Market,2,206.96,86.97,413.92,173.94,239.98,0.00,Delivered,0
12509,2023-01-28,C1201,AMER,United States,Hardware,"27"" Monitor",Enterprise,8,300.48,135.10,2403.84,1080.80,1323.04,0.00,Delivered,0
10225,2023-01-29,C1052,EMEA,France,Hardware,USB-C Hub,SMB,8,50.41,21.51,403.28,172.08,231.20,0.00,Shipped,0
10426,2023-01-29,C1170,APAC,Australia,Accessories,Cable Set,Mid-Market,12,15.04,4.52,180.48,54.24,126.24,0.00,Delivered,0
12108,2023-01-29,C1130,APAC,Japan,Software,VPN Annual,Mid-Market,3,40.55,3.23,121.65,9.69,111.96,,Delivered,0
10544,2023-01-30,C1302,APAC,Singapore,Services,Training Course,Consumer,4,354.23,87.92,1346.07,351.68,994.39,0.05,Delivered,0
11868,2023-01-30,C1045,EMEA,Germany,Software,Editor Pro License,SMB,4,98.04,10.09,392.16,40.36,351.80,0.00,Delivered,0
10165,2023-01-31,C1202,AMER,Brazil,Accessories,Carry Sleeve,Enterprise,8,29.43,8.24,235.44,65.92,169.52,0.00,Delivered,0
10671,2023-01-31,C1191,EMEA,Netherlands,Software,VPN Annual,Enterprise,16,38.08,3.23,609.28,51.68,557.60,0.00,Pending,0
11718,2023-01-31,C1204,APAC,South Korea,Accessories,Desk Mat,Enterprise,5,23.50,6.20,117.50,31.00,86.50,,Delivered,0
12643,2023-02-01,C1185,APAC,Singapore,Hardware,"27"" Monitor",Enterprise,12,306.53,133.42,3678.36,1601.04,2077.32,0.00,Delivered,0
12757,2023-02-01,C1162,EMEA,Germany,Accessories,Cable Set,Mid-Market,4,14.09,4.30,56.36,17.20,39.16,0.00,Delivered,0
10892,2023-02-02,C1122,APAC,South Korea,Hardware,Laptop Stand,Mid-Market,3,44.92,15.25,134.76,45.75,89.01,0.00,Delivered,0
12873,2023-02-02,C1008,EMEA,Sweden,Software,Analytics Platform,SMB,6,408.53,35.78,2328.62,214.68,2113.94,0.05,Pending,0
10042,2023-02-03,C1231,APAC,India,Hardware,USB-C Hub,Consumer,1,50.78,21.31,50.78,21.31,29.47,0.00,Delivered,0
10207,2023-02-03,C1134,APAC,India,Hardware,Laptop Stand,Mid-Market,12,41.68,15.42,500.16,185.04,315.12,0.00,Shipped,0
10675,2023-02-03,C1272,EMEA,France,Services,Custom Integration,Consumer,1,1151.05,404.19,1151.05,404.19,746.86,0.00,Delivered,0
10878,2023-02-03,C1071,EMEA,Netherlands,Accessories,Monitor Arm,SMB,5,94.04,34.51,470.20,172.55,297.65,0.00,Delivered,0
11072,2023-02-03,C1070,AMER,Brazil,Accessories,Desk Mat,SMB,7,24.90,5.98,174.30,41.86,132.44,,Pending,0
11578,2023-02-03,C1193,EMEA,United Kingdom,Software,VPN Annual,Enterprise,20,38.54,3.00,770.80,60.00,710.80,0.00,Delivered,0
